,unique_id,data_folder,batch_size,max_epochs,cuda,result_folder,model_name,init_lr,weight_decay,band_pass,electrodes,sampling_rate,n_seconds_valid_set,n_seconds_test_set,data
0,a8MwwzAvUTNsLufyfGUPFY,/data/schirrmr/fiederer/nicebot/data,64,200,True,/data/schirrmr/fiederer/nicebot/results,eegnet,0.001,0,"'[None, None]'",'*',256,0,180,onlyRobotData
1,g3XkZY3DHBc9bkEufoCqtj,/data/schirrmr/fiederer/nicebot/data,64,200,True,/data/schirrmr/fiederer/nicebot/results,eegnet,0.001,0,"'[None, None]'",'*',256,0,180,onlyAux
2,NdYy56MjUYwrj5zSxuTVWJ,/data/schirrmr/fiederer/nicebot/data,64,200,True,/data/schirrmr/fiederer/nicebot/results,deep4,0.001,0,"'[None, None]'",'*',256,0,180,onlyRobotData
3,KsCSFZpW5UHEpkfKLcpxyh,/data/schirrmr/fiederer/nicebot/data,64,200,True,/data/schirrmr/fiederer/nicebot/results,deep4,0.001,0,"'[None, None]'",'*',256,0,180,onlyAux
4,dVcCAsSWbpZKfg2ELN2mTa,/data/schirrmr/fiederer/nicebot/data,64,200,True,/data/schirrmr/fiederer/nicebot/results,resnet,0.001,0,"'[None, None]'",'*',256,0,180,onlyRobotData
5,jkYTZ93i3AJqUuprNGYrVg,/data/schirrmr/fiederer/nicebot/data,64,200,True,/data/schirrmr/fiederer/nicebot/results,resnet,0.001,0,"'[None, None]'",'*',256,0,180,onlyAux
6,CiyD6eMYcE8kuzCrLvJESS,/data/schirrmr/fiederer/nicebot/data,64,200,True,/data/schirrmr/fiederer/nicebot/results,lin_reg,0.001,0,"'[None, None]'",'*',256,0,180,onlyRobotData
7,3qZkaeUGtw3vE6Fte8EKYX,/data/schirrmr/fiederer/nicebot/data,64,200,True,/data/schirrmr/fiederer/nicebot/results,lin_reg,0.001,0,"'[None, None]'",'*',256,0,180,onlyAux
8,SQVwtVHsHige8ysjqrgeMn,/data/schirrmr/fiederer/nicebot/data,64,200,True,/data/schirrmr/fiederer/nicebot/results,lin_svr,0.001,0,"'[None, None]'",'*',256,0,180,onlyRobotData
9,kxCzbumgx2ysamyh5eiUek,/data/schirrmr/fiederer/nicebot/data,64,200,True,/data/schirrmr/fiederer/nicebot/results,lin_svr,0.001,0,"'[None, None]'",'*',256,0,180,onlyAux
10,JCD8v54oJNECgbQmqMfYSL,/data/schirrmr/fiederer/nicebot/data,64,200,True,/data/schirrmr/fiederer/nicebot/results,rbf_svr,0.001,0,"'[None, None]'",'*',256,0,180,onlyRobotData
11,WH3FfdYidYt66SBzS4gn8A,/data/schirrmr/fiederer/nicebot/data,64,200,True,/data/schirrmr/fiederer/nicebot/results,rbf_svr,0.001,0,"'[None, None]'",'*',256,0,180,onlyAux
12,DsnHvPJyYGyGNKXviuiPhK,/data/schirrmr/fiederer/nicebot/data,64,200,True,/data/schirrmr/fiederer/nicebot/results,rf_reg,0.001,0,"'[None, None]'",'*',256,0,180,onlyRobotData
13,UnseNu4kv24dw3LsdgK2R6,/data/schirrmr/fiederer/nicebot/data,64,200,True,/data/schirrmr/fiederer/nicebot/results,rf_reg,0.001,0,"'[None, None]'",'*',256,0,180,onlyAux
329,vKJHKqiEqWmd3GXQ4M8NrR,/data/schirrmr/fiederer/nicebot/data,64,200,True,/data/schirrmr/fiederer/nicebot/results,rbf_svr,0.001,0,"'[None, None]'",'*',256,0,180,onlyEEGData
330,7od8CS7N9wVCTApt3MJYWE,/data/schirrmr/fiederer/nicebot/data,64,200,True,/data/schirrmr/fiederer/nicebot/results,rbf_svr,0.001,0,"'[None, None]'",'*',256,0,180,RobotEEGAux
331,A3xLn8HLXVKYn2b5rALxh9,/data/schirrmr/fiederer/nicebot/data,64,200,True,/data/schirrmr/fiederer/nicebot/results,rbf_svr,0.001,0,"'[None, None]'",'*',256,0,180,RobotEEG
332,t6bV8iBbM7dSbMfdqgg437,/data/schirrmr/fiederer/nicebot/data,64,200,True,/data/schirrmr/fiederer/nicebot/results,rbf_svr,0.001,0,"'[None, None]'",'*z',256,0,180,onlyEEGData
333,wkkErRET2cM6cU2ej9ZaE9,/data/schirrmr/fiederer/nicebot/data,64,200,True,/data/schirrmr/fiederer/nicebot/results,rbf_svr,0.001,0,"'[None, None]'",'*z',256,0,180,RobotEEGAux
334,6PUpb5z8A6FotFZXoGTFYg,/data/schirrmr/fiederer/nicebot/data,64,200,True,/data/schirrmr/fiederer/nicebot/results,rbf_svr,0.001,0,"'[None, None]'",'*z',256,0,180,RobotEEG
335,HiQbKjiGGRxyuUeZyX29rS,/data/schirrmr/fiederer/nicebot/data,64,200,True,/data/schirrmr/fiederer/nicebot/results,rbf_svr,0.001,0,"'[None, None]'",'*C*',256,0,180,onlyEEGData
336,pZMrxwWdNf3skrvLVFWXai,/data/schirrmr/fiederer/nicebot/data,64,200,True,/data/schirrmr/fiederer/nicebot/results,rbf_svr,0.001,0,"'[None, None]'",'*C*',256,0,180,RobotEEGAux
337,VqkjTiQ3sKDAZwB6vKrGBV,/data/schirrmr/fiederer/nicebot/data,64,200,True,/data/schirrmr/fiederer/nicebot/results,rbf_svr,0.001,0,"'[None, None]'",'*C*',256,0,180,RobotEEG
338,oaUL283wbJ59Up5a9ycCzJ,/data/schirrmr/fiederer/nicebot/data,64,200,True,/data/schirrmr/fiederer/nicebot/results,rbf_svr,0.001,0,"'[0, 4]'",'*',256,0,180,onlyEEGData
339,fLrGsWVf4MbwasuFgkXdAM,/data/schirrmr/fiederer/nicebot/data,64,200,True,/data/schirrmr/fiederer/nicebot/results,rbf_svr,0.001,0,"'[0, 4]'",'*',256,0,180,RobotEEGAux
340,U7HWQzfWyHRnQEoXxbAs3C,/data/schirrmr/fiederer/nicebot/data,64,200,True,/data/schirrmr/fiederer/nicebot/results,rbf_svr,0.001,0,"'[0, 4]'",'*',256,0,180,RobotEEG
341,cJVpZLydPTbkbQm6szgnSk,/data/schirrmr/fiederer/nicebot/data,64,200,True,/data/schirrmr/fiederer/nicebot/results,rbf_svr,0.001,0,"'[0, 4]'",'*z',256,0,180,onlyEEGData
342,ehz5GwqQaPz6iAJzseqGHA,/data/schirrmr/fiederer/nicebot/data,64,200,True,/data/schirrmr/fiederer/nicebot/results,rbf_svr,0.001,0,"'[0, 4]'",'*z',256,0,180,RobotEEGAux
343,GunMhVmpaVx5qw3zoa6r72,/data/schirrmr/fiederer/nicebot/data,64,200,True,/data/schirrmr/fiederer/nicebot/results,rbf_svr,0.001,0,"'[0, 4]'",'*z',256,0,180,RobotEEG
344,pQNCujs7criSVtWfxonyNA,/data/schirrmr/fiederer/nicebot/data,64,200,True,/data/schirrmr/fiederer/nicebot/results,rbf_svr,0.001,0,"'[0, 4]'",'*C*',256,0,180,onlyEEGData
345,x3r3iiQpMbF8KnWQsExktK,/data/schirrmr/fiederer/nicebot/data,64,200,True,/data/schirrmr/fiederer/nicebot/results,rbf_svr,0.001,0,"'[0, 4]'",'*C*',256,0,180,RobotEEGAux
346,wD2gANexphs9qicts35y2H,/data/schirrmr/fiederer/nicebot/data,64,200,True,/data/schirrmr/fiederer/nicebot/results,rbf_svr,0.001,0,"'[0, 4]'",'*C*',256,0,180,RobotEEG
347,2F8dbRYh6GuSuN843tMv5J,/data/schirrmr/fiederer/nicebot/data,64,200,True,/data/schirrmr/fiederer/nicebot/results,rbf_svr,0.001,0,"'[4, 8]'",'*',256,0,180,onlyEEGData
348,auR2t2V98MZxQWoUBXeGdV,/data/schirrmr/fiederer/nicebot/data,64,200,True,/data/schirrmr/fiederer/nicebot/results,rbf_svr,0.001,0,"'[4, 8]'",'*',256,0,180,RobotEEGAux
349,JZexRVp9Md4WspZUEfTJKX,/data/schirrmr/fiederer/nicebot/data,64,200,True,/data/schirrmr/fiederer/nicebot/results,rbf_svr,0.001,0,"'[4, 8]'",'*',256,0,180,RobotEEG
350,zw3ojhGQMUsFszkamkWJ2j,/data/schirrmr/fiederer/nicebot/data,64,200,True,/data/schirrmr/fiederer/nicebot/results,rbf_svr,0.001,0,"'[4, 8]'",'*z',256,0,180,onlyEEGData
351,HV4DXHLACH3ccf2fQa6mBg,/data/schirrmr/fiederer/nicebot/data,64,200,True,/data/schirrmr/fiederer/nicebot/results,rbf_svr,0.001,0,"'[4, 8]'",'*z',256,0,180,RobotEEGAux
352,Yu3QxfqfQvHVTJ4zwsyGiR,/data/schirrmr/fiederer/nicebot/data,64,200,True,/data/schirrmr/fiederer/nicebot/results,rbf_svr,0.001,0,"'[4, 8]'",'*z',256,0,180,RobotEEG
353,y3GZCBZLFXzgxgjhb4qeWU,/data/schirrmr/fiederer/nicebot/data,64,200,True,/data/schirrmr/fiederer/nicebot/results,rbf_svr,0.001,0,"'[4, 8]'",'*C*',256,0,180,onlyEEGData
354,jY7TDcLLoNVsvvSW82xRe5,/data/schirrmr/fiederer/nicebot/data,64,200,True,/data/schirrmr/fiederer/nicebot/results,rbf_svr,0.001,0,"'[4, 8]'",'*C*',256,0,180,RobotEEGAux
355,CDVnKUGRdUhc3rzL5hVCci,/data/schirrmr/fiederer/nicebot/data,64,200,True,/data/schirrmr/fiederer/nicebot/results,rbf_svr,0.001,0,"'[4, 8]'",'*C*',256,0,180,RobotEEG
356,ANg45cbqRAzuySt2nADBaH,/data/schirrmr/fiederer/nicebot/data,64,200,True,/data/schirrmr/fiederer/nicebot/results,rbf_svr,0.001,0,"'[8, 14]'",'*',256,0,180,onlyEEGData
357,pzBmovPPvqUjewqs8LNQtL,/data/schirrmr/fiederer/nicebot/data,64,200,True,/data/schirrmr/fiederer/nicebot/results,rbf_svr,0.001,0,"'[8, 14]'",'*',256,0,180,RobotEEGAux
358,TWKxbV9niySK6mckK7a5w6,/data/schirrmr/fiederer/nicebot/data,64,200,True,/data/schirrmr/fiederer/nicebot/results,rbf_svr,0.001,0,"'[8, 14]'",'*',256,0,180,RobotEEG
359,nPNAobUvW6BTCDZUmrCMRX,/data/schirrmr/fiederer/nicebot/data,64,200,True,/data/schirrmr/fiederer/nicebot/results,rbf_svr,0.001,0,"'[8, 14]'",'*z',256,0,180,onlyEEGData
360,7ZyMmBdh2u3Wtj8cSbfgwd,/data/schirrmr/fiederer/nicebot/data,64,200,True,/data/schirrmr/fiederer/nicebot/results,rbf_svr,0.001,0,"'[8, 14]'",'*z',256,0,180,RobotEEGAux
361,hQNxGvuwQnihzrNTMiq7WE,/data/schirrmr/fiederer/nicebot/data,64,200,True,/data/schirrmr/fiederer/nicebot/results,rbf_svr,0.001,0,"'[8, 14]'",'*z',256,0,180,RobotEEG
362,T4UWD2jqEypwGV5VWrsD78,/data/schirrmr/fiederer/nicebot/data,64,200,True,/data/schirrmr/fiederer/nicebot/results,rbf_svr,0.001,0,"'[8, 14]'",'*C*',256,0,180,onlyEEGData
363,n7uaFDZatYrb43r3GYufCS,/data/schirrmr/fiederer/nicebot/data,64,200,True,/data/schirrmr/fiederer/nicebot/results,rbf_svr,0.001,0,"'[8, 14]'",'*C*',256,0,180,RobotEEGAux
