,Unnamed: 0,unique_id,data_folder,batch_size,max_epochs,cuda,result_folder,model_name,init_lr,weight_decay,band_pass,electrodes,sampling_rate,n_seconds_valid_set,n_seconds_test_set,data,config_has_run,mse_train,mse_valid,mse_test,corr_train,corr_valid,corr_test,corr_p_train,corr_p_valid,corr_p_test
0,0,wgu3HFWr2VjUWw73DB9Thg,/data/schirrmr/fiederer/nicebot/data,64,200,True,/data/schirrmr/fiederer/nicebot/results,eegnet,0.001,0,"'[None, None]'",'*',256,180,180,onlyRobotData,True,"[0.16743305672221273, 0.07724233399513225, 0.0832692695065992]","[0.14114887764056522, 0.08389092360933621, 0.10245014478762944]","[0.13274518648783365, 0.11838583027323088, 0.04483708180487155]","[0.7277690103544807, 0.5285176958085932, 0.7605025373319911]","[0.7919779910537242, 0.5686924206309921, 0.7188518838630135]","[0.7421329181064802, 0.5142601530881417, 0.8684258596766874]","[None, None, None]","[None, None, None]","[None, None, None]"
1,1,iXyrg38eVTx7S9aqkYqcrC,/data/schirrmr/fiederer/nicebot/data,64,200,True,/data/schirrmr/fiederer/nicebot/results,eegnet,0.001,0,"'[None, None]'",'*',256,180,180,onlyAux,True,"[0.2909714426968387, 0.10002905837542743, 0.18997474927014013]","[0.3694090942541758, 0.09787717089056967, 0.18630882600943247]","[0.30637561778227484, 0.14429846157630286, 0.17444157848755518]","[0.4284277563677647, 0.2253101450449517, 0.18396237310457605]","[0.11985735559935133, 0.0985559140095517, 0.009153754896088712]","[-0.04560021738900623, 0.19539669500241802, -0.05705289263635471]","[None, None, None]","[None, None, None]","[None, None, None]"
2,2,o4AHZ9pAqQEhztVHfdguC6,/data/schirrmr/fiederer/nicebot/data,64,200,True,/data/schirrmr/fiederer/nicebot/results,deep4,0.001,0,"'[None, None]'",'*',256,180,180,onlyRobotData,True,"[0.208731704379522, 0.07243167011014247, 0.0944705816167648]","[0.16650632844212349, 0.11919828604781225, 0.11154909653777488]","[0.1629860649785299, 0.12426739062569785, 0.06389967917223995]","[0.7140848626253818, 0.6012787232271454, 0.7614911731965478]","[0.7632967193419967, 0.5086591406704332, 0.6519027696005386]","[0.7002227462850349, 0.6103588620437582, 0.8325684864586657]","[None, None, None]","[None, None, None]","[None, None, None]"
3,3,t9RddtgGyGzKPt9p93Zw4a,/data/schirrmr/fiederer/nicebot/data,64,200,True,/data/schirrmr/fiederer/nicebot/results,deep4,0.001,0,"'[None, None]'",'*',256,180,180,onlyAux,True,"[0.2799879099242389, 0.09476147314295844, 0.2094302510954185]","[0.4347212972600808, 0.07602680194076528, 0.20567481738797733]","[0.7017013821541593, 0.13010845668195334, 0.2283156219493137]","[0.5017683537711045, 0.3196706713743708, 0.29934721359238736]","[-0.04008025820112929, 0.1702299109782262, -0.006020639563342099]","[-0.12965498365300085, 0.29707740391916315, -0.11549415539557682]","[None, None, None]","[None, None, None]","[None, None, None]"
4,4,dZRs7nzX68rEwdPPH4vvjg,/data/schirrmr/fiederer/nicebot/data,64,200,True,/data/schirrmr/fiederer/nicebot/results,resnet,0.001,0,"'[None, None]'",'*',256,180,180,onlyRobotData,True,"[0.12417066159998093, 0.05890574284075273, 0.06306795987503587]","[0.15591658155123392, 0.10286984965205193, 0.13179458926121393]","[0.1677549183368683, 0.1301818359643221, 0.05875861893097559]","[0.8069811718281897, 0.6637985305026277, 0.8243324435796359]","[0.7815059202050394, 0.5643443870213589, 0.6451905232030039]","[0.6877700745301462, 0.5366690621523291, 0.8295429222217718]","[None, None, None]","[None, None, None]","[None, None, None]"
5,5,atEXZJp74brUcaTBtm6CsT,/data/schirrmr/fiederer/nicebot/data,64,200,True,/data/schirrmr/fiederer/nicebot/results,resnet,0.001,0,"'[None, None]'",'*',256,180,180,onlyAux,True,"[0.05304289851142551, 0.0749693650533974, 0.11580722395589385]","[1.1086480617523191, 0.10401696835954984, 0.31179213523864746]","[3.483591477076212, 0.14921212941408155, 0.2988967597484589]","[0.9230177430695672, 0.5368819793087739, 0.6409751198523476]","[0.08628653461360765, 0.06352142933293065, -0.1004151090852547]","[0.1003944154745101, 0.20599241457760686, 0.006891538127324327]","[None, None, None]","[None, None, None]","[None, None, None]"
6,6,mWhgzqsUwS9KqgsEGV9wwh,/data/schirrmr/fiederer/nicebot/data,64,200,True,/data/schirrmr/fiederer/nicebot/results,lin_reg,0.001,0,"'[None, None]'",'*',256,180,180,onlyRobotData,True,"[0.26043787598609924, 0.0924455001950264, 0.12213943153619765]","[0.1988593190908432, 0.13795143365859985, 0.12358255684375764]","[0.17664451897144318, 0.15824657678604126, 0.07939682900905609]","[0.5180596113204956, 0.3497441411018372, 0.6151920557022095]","[0.7241469025611877, 0.272758424282074, 0.6015746593475342]","[0.6466277837753296, 0.2683806121349335, 0.7439862489700317]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]"
7,7,gyMBFUuCbuVRZfvy8LX7vB,/data/schirrmr/fiederer/nicebot/data,64,200,True,/data/schirrmr/fiederer/nicebot/results,lin_reg,0.001,0,"'[None, None]'",'*',256,180,180,onlyAux,True,"[0.35597699880599976, 0.10532905161380768, 0.1965114027261734]","[0.3796040117740631, 0.12923336029052734, 0.1820804327726364]","[0.2992810904979706, 0.1590721309185028, 0.17852281033992767]","[0.0006568015087395906, 0.0021131213288754225, 0.0003952908155042678]","[0.00011087104212492706, 0.0018537886207923293, -0.001887434278614819]","[-0.003417657455429435, 0.0021109143272042274, -8.266879740403965e-05]","[0.6006089306009015, 0.2640343852506998, 0.7522650343585229]","[0.9810127681910504, 0.6906828950932086, 0.6853666823574225]","[0.4631771842586186, 0.6504605964301589, 0.9858419532328202]"
8,8,swscLgnGb6E2TG3Y92GMXQ,/data/schirrmr/fiederer/nicebot/data,64,200,True,/data/schirrmr/fiederer/nicebot/results,lin_svr,0.001,0,"'[None, None]'",'*',256,180,180,onlyRobotData,True,"[0.2665651609578839, 0.0996949624719152, 0.1251565008690424]","[0.20120384791214727, 0.10536083377780196, 0.12553130483842542]","[0.16879778217977082, 0.14113836075696412, 0.08826034777571319]","[0.5082336274690755, 0.34723931799114643, 0.6054731532541333]","[0.7394344522915614, 0.2824890862705715, 0.5804938182818914]","[0.6616462417900062, 0.2624032862586561, 0.7049836463100277]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]"
9,9,rztXx3u79cBrFqEDaab2GC,/data/schirrmr/fiederer/nicebot/data,64,200,True,/data/schirrmr/fiederer/nicebot/results,lin_svr,0.001,0,"'[None, None]'",'*',256,180,180,onlyAux,True,"[0.3675740468277422, 0.1131602675196422, 0.20147787763380653]","[0.4094611621290855, 0.09140201624319416, 0.19720659945282065]","[0.2992465491666304, 0.1382719891607379, 0.17051722711529554]","[0.0006553991759798403, -0.0009061772943311613, -0.00012447762631796034]","[8.382293473098742e-05, -0.0008893219643167257, -0.00031879529559164803]","[-0.0021228920217314148, -0.0014387571710154205, 0.0005379100934290639]","[0.6013867990604784, 0.6319624976194278, 0.9208207419447364]","[0.9856443141415852, 0.8486047563836974, 0.9454421084051694]","[0.6486103860268942, 0.7574439777512182, 0.9080757561021896]"
