,unique_id,data_folder,batch_size,max_epochs,cuda,result_folder,model_name,init_lr,weight_decay,band_pass,electrodes,sampling_rate,n_seconds_valid_set,n_seconds_test_set,data
6  ,CiyD6eMYcE8kuzCrLvJESS,/data/schirrmr/fiederer/nicebot/data,64        ,200       ,True,/data/schirrmr/fiederer/nicebot/results,lin_reg   ,0.001  ,0           ,"'[None, None]'",'*'       ,256          ,0                  ,180               ,onlyRobotData
7  ,3qZkaeUGtw3vE6Fte8EKYX,/data/schirrmr/fiederer/nicebot/data,64        ,200       ,True,/data/schirrmr/fiederer/nicebot/results,lin_reg   ,0.001  ,0           ,"'[None, None]'",'*'       ,256          ,0                  ,180               ,onlyAux
8  ,SQVwtVHsHige8ysjqrgeMn,/data/schirrmr/fiederer/nicebot/data,64        ,200       ,True,/data/schirrmr/fiederer/nicebot/results,lin_svr   ,0.001  ,0           ,"'[None, None]'",'*'       ,256          ,0                  ,180               ,onlyRobotData
9  ,kxCzbumgx2ysamyh5eiUek,/data/schirrmr/fiederer/nicebot/data,64        ,200       ,True,/data/schirrmr/fiederer/nicebot/results,lin_svr   ,0.001  ,0           ,"'[None, None]'",'*'       ,256          ,0                  ,180               ,onlyAux
10 ,JCD8v54oJNECgbQmqMfYSL,/data/schirrmr/fiederer/nicebot/data,64        ,200       ,True,/data/schirrmr/fiederer/nicebot/results,rbf_svr   ,0.001  ,0           ,"'[None, None]'",'*'       ,256          ,0                  ,180               ,onlyRobotData
11 ,WH3FfdYidYt66SBzS4gn8A,/data/schirrmr/fiederer/nicebot/data,64        ,200       ,True,/data/schirrmr/fiederer/nicebot/results,rbf_svr   ,0.001  ,0           ,"'[None, None]'",'*'       ,256          ,0                  ,180               ,onlyAux
12 ,DsnHvPJyYGyGNKXviuiPhK,/data/schirrmr/fiederer/nicebot/data,64        ,200       ,True,/data/schirrmr/fiederer/nicebot/results,rf_reg    ,0.001  ,0           ,"'[None, None]'",'*'       ,256          ,0                  ,180               ,onlyRobotData
13 ,UnseNu4kv24dw3LsdgK2R6,/data/schirrmr/fiederer/nicebot/data,64        ,200       ,True,/data/schirrmr/fiederer/nicebot/results,rf_reg    ,0.001  ,0           ,"'[None, None]'",'*'       ,256          ,0                  ,180               ,onlyAux
203,yupFVVNbqFuy8ubqtZVVyg,/data/schirrmr/fiederer/nicebot/data,64        ,200       ,True,/data/schirrmr/fiederer/nicebot/results,lin_reg   ,0.001  ,0           ,"'[None, None]'",'*'       ,256          ,0                  ,180               ,onlyEEGData
204,38JaAVrTedh5xbr8BkbpR3,/data/schirrmr/fiederer/nicebot/data,64        ,200       ,True,/data/schirrmr/fiederer/nicebot/results,lin_reg   ,0.001  ,0           ,"'[None, None]'",'*'       ,256          ,0                  ,180               ,RobotEEGAux
205,V6xRoKdjUA3xcJTsFBdpqk,/data/schirrmr/fiederer/nicebot/data,64        ,200       ,True,/data/schirrmr/fiederer/nicebot/results,lin_reg   ,0.001  ,0           ,"'[None, None]'",'*'       ,256          ,0                  ,180               ,RobotEEG
206,ncMBt5XwzxHF8fABqzxRwB,/data/schirrmr/fiederer/nicebot/data,64        ,200       ,True,/data/schirrmr/fiederer/nicebot/results,lin_reg   ,0.001  ,0           ,"'[None, None]'",'*z'      ,256          ,0                  ,180               ,onlyEEGData
207,Dco84zbKR5KoChTtgkENwb,/data/schirrmr/fiederer/nicebot/data,64        ,200       ,True,/data/schirrmr/fiederer/nicebot/results,lin_reg   ,0.001  ,0           ,"'[None, None]'",'*z'      ,256          ,0                  ,180               ,RobotEEGAux
208,5UXjmXDcJU9SYTsoAykYVA,/data/schirrmr/fiederer/nicebot/data,64        ,200       ,True,/data/schirrmr/fiederer/nicebot/results,lin_reg   ,0.001  ,0           ,"'[None, None]'",'*z'      ,256          ,0                  ,180               ,RobotEEG
209,kevKoBhHFFCgEAWn7h5AVn,/data/schirrmr/fiederer/nicebot/data,64        ,200       ,True,/data/schirrmr/fiederer/nicebot/results,lin_reg   ,0.001  ,0           ,"'[None, None]'",'*C*'     ,256          ,0                  ,180               ,onlyEEGData
210,kmp2bVDpYLfuQP6Zb5EDme,/data/schirrmr/fiederer/nicebot/data,64        ,200       ,True,/data/schirrmr/fiederer/nicebot/results,lin_reg   ,0.001  ,0           ,"'[None, None]'",'*C*'     ,256          ,0                  ,180               ,RobotEEGAux
211,Ncef2Ho9rWQ2w7JL2kXp3U,/data/schirrmr/fiederer/nicebot/data,64        ,200       ,True,/data/schirrmr/fiederer/nicebot/results,lin_reg   ,0.001  ,0           ,"'[None, None]'",'*C*'     ,256          ,0                  ,180               ,RobotEEG
212,LYzaNTgcfN7Nkw6zjBWeVg,/data/schirrmr/fiederer/nicebot/data,64        ,200       ,True,/data/schirrmr/fiederer/nicebot/results,lin_reg   ,0.001  ,0           ,"'[0, 4]'"      ,'*'       ,256          ,0                  ,180               ,onlyEEGData
213,kuBheHfhnEUEhtFv4tLomW,/data/schirrmr/fiederer/nicebot/data,64        ,200       ,True,/data/schirrmr/fiederer/nicebot/results,lin_reg   ,0.001  ,0           ,"'[0, 4]'"      ,'*'       ,256          ,0                  ,180               ,RobotEEGAux
214,vF5uXf67D5vn9vAnmvxbZR,/data/schirrmr/fiederer/nicebot/data,64        ,200       ,True,/data/schirrmr/fiederer/nicebot/results,lin_reg   ,0.001  ,0           ,"'[0, 4]'"      ,'*'       ,256          ,0                  ,180               ,RobotEEG
215,86g7pHK78V9QkfrnNFUHTT,/data/schirrmr/fiederer/nicebot/data,64        ,200       ,True,/data/schirrmr/fiederer/nicebot/results,lin_reg   ,0.001  ,0           ,"'[0, 4]'"      ,'*z'      ,256          ,0                  ,180               ,onlyEEGData
