,unique_id,data_folder,batch_size,max_epochs,cuda,result_folder,model_name,init_lr,weight_decay,band_pass,electrodes,sampling_rate,n_seconds_valid_set,n_seconds_test_set,data
140,6ZHQsEjTr7crZpb5NysWJV,/data/schirrmr/fiederer/nicebot/data,64,200,True,/data/schirrmr/fiederer/nicebot/results,resnet,0.001,0,"'[None, None]'",'*',256,180,180,onlyEEGData
141,V2qMjUNmjoMMNjDTfeGU54,/data/schirrmr/fiederer/nicebot/data,64,200,True,/data/schirrmr/fiederer/nicebot/results,resnet,0.001,0,"'[None, None]'",'*',256,180,180,RobotEEGAux
142,xqTxrXbVjGvYU8VGMmVkKZ,/data/schirrmr/fiederer/nicebot/data,64,200,True,/data/schirrmr/fiederer/nicebot/results,resnet,0.001,0,"'[None, None]'",'*',256,180,180,RobotEEG
143,iy9GUf8XJKGSu7gG3kHVUj,/data/schirrmr/fiederer/nicebot/data,64,200,True,/data/schirrmr/fiederer/nicebot/results,resnet,0.001,0,"'[None, None]'",'*z',256,180,180,onlyEEGData
144,bwpwLimRdQVvHxiw7PawZW,/data/schirrmr/fiederer/nicebot/data,64,200,True,/data/schirrmr/fiederer/nicebot/results,resnet,0.001,0,"'[None, None]'",'*z',256,180,180,RobotEEGAux
145,g5tCZkiTwBbWATGVb9BwVP,/data/schirrmr/fiederer/nicebot/data,64,200,True,/data/schirrmr/fiederer/nicebot/results,resnet,0.001,0,"'[None, None]'",'*z',256,180,180,RobotEEG
146,vDxHmbwK4aS7YXxvsexxkH,/data/schirrmr/fiederer/nicebot/data,64,200,True,/data/schirrmr/fiederer/nicebot/results,resnet,0.001,0,"'[None, None]'",'*C*',256,180,180,onlyEEGData
147,cpbvFbyhJq5PW4aLxcEnCB,/data/schirrmr/fiederer/nicebot/data,64,200,True,/data/schirrmr/fiederer/nicebot/results,resnet,0.001,0,"'[None, None]'",'*C*',256,180,180,RobotEEGAux
148,Eo5k8LF9CFoboBB9JSfLTC,/data/schirrmr/fiederer/nicebot/data,64,200,True,/data/schirrmr/fiederer/nicebot/results,resnet,0.001,0,"'[None, None]'",'*C*',256,180,180,RobotEEG
149,LyJvJcTKwXCMcraFie7Qf8,/data/schirrmr/fiederer/nicebot/data,64,200,True,/data/schirrmr/fiederer/nicebot/results,resnet,0.001,0,"'[0, 4]'",'*',256,180,180,onlyEEGData
150,WfPJU3yCaJ9oMYQWgj4zne,/data/schirrmr/fiederer/nicebot/data,64,200,True,/data/schirrmr/fiederer/nicebot/results,resnet,0.001,0,"'[0, 4]'",'*',256,180,180,RobotEEGAux
